Item,Calories,CaloriesfromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein,VitaminA,VitaminC,Calcium,Iron
maple icing with powdered sugar & cinnamon sugar,280.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
maple icing with chopped bacon,295.0,135.0,15.0g,5.5g,0.0g,35.0mg,580.0mg,37.0g,1.0g,19.0g,6.0g,0.0%,0.0%,0.0%,0.0%
chocolate icing with chocolate sprinkles,270.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
peanut butter icing with raspberry drizzle,310.0,130.0,14.5g,5.5g,0.0g,20.0mg,405.0mg,46.0g,1.0g,28.0g,4.0g,2.0%,0.0%,0.0%,4.0%
peanut butter icing with chocolate drizzle,315.0,130.0,14.5g,5.5g,0.0g,20.0mg,415.0mg,46.0g,1.0g,28.0g,4.0g,2.0%,0.0%,0.0%,4.0%
lemon icing with shredded coconut,285.0,125.0,14.5g,6.5g,0.0g,20.0mg,405.0mg,40.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
glazed with raspberry & marshmallow drizzle,300.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,49.0g,1.0g,30.0g,3.0g,0.0%,0.0%,0.0%,0.0%
vanilla icing with shredded coconut & powdered sugar,300.0,125.0,14.5g,6.5g,0.0g,20.0mg,405.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
chocolate icing with graham cracker crumbs & marshmallow drizzle,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,415.0mg,40.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
strawberry icing with rainbow sprinkles,275.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,39.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
strawberry icing with graham cracker crumbs & vanilla drizzle,285.0,110.0,12.5g,4.5g,0.0g,20.0mg,420.0mg,42.0g,1.0g,24.0g,3.0g,0.0%,0.0%,0.0%,0.0%
lemon icing with raspberry drizzle,265.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
vanilla icing with cinnamon sugar,270.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
glazed with oreo crumbles powdered sugar & vanilla drizzle,290.0,115.0,12.5g,4.5g,0.0g,20.0mg,415.0mg,45.0g,1.0g,26.0g,3.0g,0.0%,0.0%,0.0%,0.0%
chocolate icing with vanilla drizzle,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,405.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
